token,Happiness Score
were,5.1
doomed,
canadian,
fishers,
in,5.76
dramatic,
rescue,
after,5.4
ice,
shelf,
floats,
away,4.46
a,5.26
country,6.22
divided,
state,
media,6.0
show,7.26
mojtaba,
supporters,
as,5.2
iranians,
online,7.0
fear,
repression,
emmanuel,
macron,
vows,
europe,
will,6.18
stand,
by,5.28
cyprus,
after,5.4
iran,
drone,
strike,
iran,
s,5.02
new,7.06
supreme,
leader,
brings,
mystery,
element,
to,4.84
middle,
east,
crisis,2.5
seventh,
us,5.94
service,6.02
member,5.98
killed,
in,5.76
war,2.04
with,5.94
iran,
identified,
sheinbaum,
tells,5.54
trump,
stop,4.74
illegal,
arms,
trade,
from,5.66
the,5.2
us,5.94
to,4.84
mexico,8.04
david,5.34
hollinger,
obituary,
ukraine,
sent,
drone,
experts,
to,4.84
protect,
us,5.94
bases,5.8
in,5.76
jordan,
says,5.66
zelenskyy,
von,5.4
der,5.1
leyen,
calls,
for,5.32
eu,5.58
foreign,
policy,4.72
to,4.84
be,5.66
more,6.34
realistic,
and,5.4
interest,
driven,
ready,6.52
to,4.84
take,5.78
necessary,
measures,
over,4.2
economic,
impact,
of,4.82
iran,
war,2.04
hope,7.5
and,5.4
solidarity,
with,5.94
those,5.4
trying,6.2
to,4.84
stay,5.78
alive,
in,5.76
iran,
letters,
roman,
abramovich,
ready,6.52
to,4.84
fight,
uk,6.12
government,
over,4.2
proceeds,
from,5.66
chelsea,
sale,5.96
istanbul,
s,5.02
mayor,6.3
in,5.76
court,
for,5.32
mass,5.7
trial,
decried,
as,5.2
politically,
motivated,
bitter,
result,
for,5.32
friedrich,
merz,
as,5.2
greens,
win,7.6
in,5.76
german,
car,6.74
heartland,
video,6.7
shows,
us,5.94
tomahawk,
missile,
hit,5.6
base,5.46
next,6.04
to,4.84
bombed,
iranian,
school,6.46
ali,
khamenei,
s,5.02
son,5.84
mojtaba,
chosen,
as,5.2
iran,
s,5.02
new,7.06
supreme,
leader,
monday,
briefing,
how,5.64
are,5.46
iranians,
abroad,
grappling,
with,5.94
loss,
and,5.4
uncertainty,
from,5.66
afar,
belgium,
at,4.9
risk,
of,4.82
becoming,
narco,
state,
judge,
warns,
us,5.94
orders,
government,
employees,
to,4.84
leave,4.4
saudi,
arabia,
as,5.2
it,5.46
happened,
the,5.2
half,
abandoned,
japanese,
island,
at,4.9
the,5.2
heart,7.3
of,4.82
tensions,
with,5.94
china,5.68
ukraine,
war,2.04
briefing,
drone,
experts,
will,6.18
be,5.66
in,5.76
middle,
east,
in,5.76
coming,6.12
days,6.44
says,5.66
zelenskyy,
israelis,
kill,
three,
in,5.76
west,
bank,
village,
as,5.2
violence,
surges,
across,
occupied,
palestine,
appointing,
a,5.26
new,7.06
leader,
is,5.34
the,5.2
least,
of,4.82
iran,
s,5.02
troubles,
dark,4.48
like,7.26
our,5.92
future,
iranians,
describe,5.8
scenes,
of,4.82
catastrophe,
after,5.4
tehran,
s,5.02
oil,
depots,
bombed,
iran,
threatens,
retaliatory,
attacks,
on,6.1
oil,
facilities,
across,
gulf,
after,5.4
israeli,
strikes,
war,2.04
in,5.76
the,5.2
middle,
east,
britain,
s,5.02
involvement,
so,5.32
far,
from,5.66
sea,5.82
to,4.84
sky,
us,5.94
energy,
chief,
says,5.66
spike,
in,5.76
gas,5.24
prices,
will,6.18
fall,4.56
before,5.16
too,5.8
long,5.68
amid,
iran,
war,2.04
putin,
smiled,
ukraine,
hurries,
to,4.84
adapt,
as,5.2
us,5.94
focus,
moves,
to,4.84
iran,
opportunities,
perils,
and,5.4
pitfalls,
how,5.64
uk,6.12
parties,
have,6.12
responded,
to,4.84
war,2.04
in,5.76
iran,
ex,3.92
rapper,
balendra,
shah,
set,5.66
to,4.84
be,5.66
nepal,
pm,5.76
after,5.4
party,8.0
s,5.02
landslide,
election,
win,7.6
people,6.92
are,5.46
thinking,6.98
twice,
cyprus,
feels,
the,5.2
effect,
of,4.82
the,5.2
iran,
war,2.04
on,6.1
tourism,
my,5.98
village,
has,5.52
become,
deserted,
how,5.64
russia,
s,5.02
war,2.04
is,5.34
emptying,
its,5.18
rural,5.92
communities,
end,4.08
of,4.82
an,5.08
era,5.0
death,1.82
of,4.82
khamenei,
seen,
as,5.2
iran,
s,5.02
berlin,6.66
wall,
moment,5.88
white,6.1
house,6.92
worries,
as,5.2
gas,5.24
prices,
jump,
amid,
ongoing,
us,5.94
israel,5.18
war,2.04
on,6.1
iran,
cooper,
rejects,
blair,
s,5.02
call,5.8
for,5.32
uk,6.12
to,4.84
have,6.12
backed,
trump,
s,5.02
strikes,
on,6.1
iran,
time,5.76
for,5.32
a,5.26
change,6.06
british,
columbia,
decides,
to,4.84
keep,6.04
daylight,
saving,
time,5.76
permanently,
china,5.68
s,5.02
foreign,
minister,
says,5.66
iran,
war,2.04
should,4.86
never,3.76
have,6.12
happened,
survivors,
of,4.82
ireland,
s,5.02
mother,
and,5.4
baby,7.5
homes,
start,6.54
to,4.84
have,6.12
benefits,
cut,
in,5.76
uk,6.12
after,5.4
accepting,
compensation,
from,5.66
bush,4.08
sr,5.4
to,4.84
trump,
the,5.2
risks,
lessons,
and,5.4
legacy,
of,4.82
us,5.94
interference,
in,5.76
the,5.2
middle,
east,
trump,
offers,
vague,
description,
of,4.82
iran,
surrender,
demand,
as,5.2
it,5.46
happened,
trump,
vague,
on,6.1
iran,
s,5.02
unconditional,
surrender,
as,5.2
he,5.36
refuses,
to,4.84
rule,
out,4.12
us,5.94
troop,
deployment,
ukraine,
war,2.04
briefing,
zelenskyy,
offers,
help,4.68
to,4.84
saudi,
crown,
prince,
on,6.1
combatting,
iranian,
drones,
uk,6.12
faces,
growing,6.58
calls,
from,5.66
locals,
to,4.84
remove,
cyprus,
military,
bases,5.8
trump,
joins,
families,
of,4.82
six,
slain,
us,5.94
service,6.02
members,5.82
at,4.9
dover,
air,6.62
force,
base,5.46
which,
human,
remains,
are,5.46
held,
in,5.76
uk,6.12
museums,
and,5.4
where,5.36
iran,
rejects,
trump,
s,5.02
demand,
for,5.32
unconditional,
surrender,
as,5.2
a,5.26
dream,7.5
revealed,
the,5.2
ukrainian,
facility,
where,5.36
uk,6.12
engineers,
help,4.68
fix,
vital,6.88
weapons,
offer,
from,5.66
iran,
s,5.02
president,
not,3.88
to,4.84
attack,
neighbours,
provokes,
internal,
backlash,
shrinking,
weapon,
stockpiles,
and,5.4
regime,
change,6.06
uncertainty,
doubts,
shadow,
us,5.94
israel,5.18
war,2.04
on,6.1
iran,
four,
us,5.94
bombers,
land,
at,4.9
raf,
base,5.46
in,5.76
uk,6.12
after,5.4
warning,
of,4.82
surge,6.06
in,5.76
strikes,
on,6.1
iran,
descendants,
of,4.82
zimbabwe,
resistance,
heroes,
urge,4.3
uk,6.12
to,4.84
locate,
looted,
skulls,
vast,
scale,
of,4.82
overseas,
human,
remains,
held,
in,5.76
uk,6.12
museums,
decried,
by,5.28
mps,
and,5.4
experts,
israel,5.18
kills,
dozens,
in,5.76
lebanon,
after,5.4
failed,
mission,
to,4.84
find,6.12
pilot,
s,5.02
remains,
the,5.2
myth,
of,4.82
baba,
vanga,
how,5.64
a,5.26
mystic,
s,5.02
prophecies,
fuel,
online,7.0
propaganda,4.48
how,5.64
many,6.4
american,5.68
troops,
should,4.86
die,2.44
for,5.32
this,5.38
veterans,
split,
on,6.1
war,2.04
with,5.94
iran,
it,5.46
means,
missile,
defence,
on,6.1
datacentres,
drone,
strikes,
raise,
doubts,
over,4.2
gulf,
as,5.2
ai,5.16
superpower,
british,
family,7.58
stranded,
in,5.76
middle,
east,
after,5.4
foreign,
office,6.08
errors,
an,5.08
ideological,
guest,
list,5.58
trump,
